datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered
01/01/2011 00:00,1,0,0,1,9.84,81,0,3,13
01/01/2011 01:00,1,0,0,1,9.02,80,0,8,32
01/01/2011 02:00,1,0,0,1,9.02,80,0,5,27
01/01/2011 03:00,1,0,0,1,9.84,75,0,3,10
01/01/2011 04:00,1,0,0,1,9.84,75,0,0,1
01/01/2011 05:00,1,0,0,2,9.84,75,6.0032,0,1
01/01/2011 06:00,1,0,0,1,9.02,80,0,2,0
01/01/2011 07:00,1,0,0,1,8.2,86,0,1,2
01/01/2011 08:00,1,0,0,1,9.84,75,0,1,7
01/01/2011 09:00,1,0,0,1,13.12,76,0,8,6
01/01/2011 10:00,1,0,0,1,15.58,76,16.9979,12,24
01/01/2011 11:00,1,0,0,1,14.76,81,19.0012,26,30
01/01/2011 12:00,1,0,0,1,17.22,77,19.0012,29,55
01/01/2011 13:00,1,0,0,2,18.86,72,19.9995,47,47
01/01/2011 14:00,1,0,0,2,18.86,72,19.0012,35,71
01/01/2011 15:00,1,0,0,2,18.04,77,19.9995,40,70
01/01/2011 16:00,1,0,0,2,17.22,82,19.9995,41,52
01/01/2011 17:00,1,0,0,2,18.04,82,19.0012,15,52
01/01/2011 18:00,1,0,0,3,17.22,88,16.9979,9,26
01/01/2011 19:00,1,0,0,3,17.22,88,16.9979,6,31
01/01/2011 20:00,1,0,0,2,16.4,87,16.9979,11,25
01/01/2011 21:00,1,0,0,2,16.4,87,12.998,3,31
01/01/2011 22:00,1,0,0,2,16.4,94,15.0013,11,17
01/01/2011 23:00,1,0,0,2,18.86,88,19.9995,15,24
02/01/2011 00:00,1,0,0,2,18.86,88,19.9995,4,13
02/01/2011 01:00,1,0,0,2,18.04,94,16.9979,1,16
02/01/2011 02:00,1,0,0,2,17.22,100,19.0012,1,8
02/01/2011 03:00,1,0,0,2,18.86,94,12.998,2,4
02/01/2011 04:00,1,0,0,2,18.86,94,12.998,2,1
02/01/2011 06:00,1,0,0,3,17.22,77,19.9995,0,2
02/01/2011 07:00,1,0,0,2,16.4,76,12.998,0,1
02/01/2011 08:00,1,0,0,3,16.4,71,15.0013,0,8
02/01/2011 09:00,1,0,0,2,15.58,76,15.0013,1,19
02/01/2011 10:00,1,0,0,2,14.76,81,15.0013,7,46
02/01/2011 11:00,1,0,0,2,14.76,71,16.9979,16,54
02/01/2011 12:00,1,0,0,2,14.76,66,19.9995,20,73
02/01/2011 13:00,1,0,0,2,14.76,66,8.9981,11,64
02/01/2011 14:00,1,0,0,3,14.76,76,12.998,4,55
02/01/2011 15:00,1,0,0,3,13.94,81,11.0014,19,55
02/01/2011 16:00,1,0,0,3,13.94,71,11.0014,9,67
02/01/2011 17:00,1,0,0,1,13.94,57,12.998,7,58
02/01/2011 18:00,1,0,0,2,14.76,46,22.0028,10,43
02/01/2011 19:00,1,0,0,1,13.12,42,30.0026,1,29
02/01/2011 20:00,1,0,0,1,12.3,39,23.9994,5,17
02/01/2011 21:00,1,0,0,1,10.66,44,22.0028,11,20
02/01/2011 22:00,1,0,0,1,9.84,44,19.9995,0,9
02/01/2011 23:00,1,0,0,1,9.02,47,11.0014,0,8
03/01/2011 00:00,1,0,1,1,9.02,44,23.9994,0,5
03/01/2011 01:00,1,0,1,1,8.2,44,27.9993,0,2
03/01/2011 04:00,1,0,1,1,6.56,47,26.0027,0,1
03/01/2011 05:00,1,0,1,1,6.56,47,19.0012,0,3
03/01/2011 06:00,1,0,1,1,5.74,50,26.0027,0,30
03/01/2011 07:00,1,0,1,1,5.74,50,12.998,1,63
03/01/2011 08:00,1,0,1,1,5.74,50,19.0012,1,153
03/01/2011 09:00,1,0,1,1,6.56,43,26.0027,7,81
03/01/2011 10:00,1,0,1,1,7.38,43,16.9979,11,33
03/01/2011 11:00,1,0,1,1,8.2,40,22.0028,10,41
03/01/2011 12:00,1,0,1,1,9.02,35,19.9995,13,48
03/01/2011 13:00,1,0,1,1,9.84,35,19.0012,8,53
03/01/2011 14:00,1,0,1,1,10.66,30,19.0012,11,66
03/01/2011 15:00,1,0,1,1,10.66,30,16.9979,14,58
03/01/2011 16:00,1,0,1,1,10.66,30,16.9979,9,67
03/01/2011 17:00,1,0,1,1,9.84,30,15.0013,11,146
03/01/2011 18:00,1,0,1,1,9.84,32,7.0015,9,148
03/01/2011 19:00,1,0,1,1,8.2,47,0,8,102
03/01/2011 20:00,1,0,1,1,8.2,47,7.0015,3,49
03/01/2011 21:00,1,0,1,1,7.38,64,8.9981,3,49
03/01/2011 22:00,1,0,1,1,5.74,69,8.9981,0,20
03/01/2011 23:00,1,0,1,1,7.38,55,7.0015,1,11
